generation    1.00000e+00
         sol00z       sol00en             R            tt     screenpos      nemirrms       mgorank  mgoviolations 
   3.43317e-01  5.65460e-01  3.60288e-03  6.06763e-01  8.32826e-01  9.07423e-07  3.80000e+01  0.00000e+00 
   3.81916e-01  5.31561e-01  1.53671e-03  8.59241e-01  1.11478e+00  3.87038e-07  1.50000e+01  0.00000e+00 
   3.27383e-01  4.73094e-01  6.82199e-04  7.56891e-01  1.18719e+00  1.71821e-07  4.00000e+00  0.00000e+00 
   3.11735e-01  1.41944e-01  2.61493e-03  8.41328e-01  1.27377e+00  6.58598e-07  3.20000e+01  0.00000e+00 
   3.47530e-01  2.97266e-01  2.93085e-03  1.52007e-01  1.14315e+00  7.38166e-07  3.50000e+01  0.00000e+00 
   4.30581e-01  1.43397e-01  2.49107e-04  1.66306e+00  1.11572e+00  6.49474e-08  0.00000e+00  0.00000e+00 
   3.60142e-01  1.77874e-01  1.48394e-03  1.79809e+00  8.52780e-01  3.73747e-07  1.40000e+01  0.00000e+00 
   3.02445e-01  2.45732e-01  1.81933e-03  1.45143e+00  8.09675e-01  4.58218e-07  2.20000e+01  0.00000e+00 
   3.78899e-01  1.51634e-01  2.46812e-03  1.20054e+00  1.32316e+00  6.21623e-07  3.00000e+01  0.00000e+00 
   3.85998e-01  5.53349e-01  8.12878e-04  3.00897e-01  1.40000e+00  2.00489e-07  5.00000e+00  0.00000e+00 
   3.95919e-01  5.55841e-01  1.30307e-03  2.60126e-01  1.06415e+00  3.21511e-07  1.10000e+01  0.00000e+00 
   3.11179e-01  6.70062e-01  8.19845e-04  9.48383e-01  8.23347e-01  2.06488e-07  6.00000e+00  0.00000e+00 
   3.52334e-01  1.38503e-01  4.36272e-04  8.34709e-01  7.44167e-01  1.09215e-07  2.00000e+00  0.00000e+00 
                                                                                                  
generation    4.00000e+00
         sol00z       sol00en             R            tt     screenpos      nemirrms       mgorank  mgoviolations 
   3.06052e-01  2.01805e-01  1.55599e-03  3.67534e-01  1.01909e+00  3.91893e-07  2.90000e+01  0.00000e+00 
   3.27988e-01  4.38789e-01  9.15567e-04  4.51949e-01  1.28573e+00  2.28879e-07  1.40000e+01  0.00000e+00 
   4.02028e-01  4.83460e-01  5.88623e-04  1.19322e+00  1.14251e+00  1.48253e-07  6.00000e+00  0.00000e+00 
   4.07491e-01  5.00130e-01  2.91432e-04  4.36527e-01  1.05412e+00  9.11109e-08  1.00000e+00  0.00000e+00 
   3.75892e-01  4.38322e-01  1.82591e-03  1.54667e+00  8.19825e-01  4.59875e-07  3.90000e+01  0.00000e+00 
   4.07691e-01  5.05067e-01  1.14378e-03  2.44504e-01  8.19286e-01  2.79167e-07  1.90000e+01  0.00000e+00 
   3.45171e-01  5.65460e-01  1.63150e-03  8.85622e-01  1.11859e+00  4.10911e-07  3.00000e+01  0.00000e+00 
   3.88809e-01  1.82671e-01  4.83370e-04  5.30215e-01  8.37716e-01  1.18655e-07  5.00000e+00  0.00000e+00 
   3.47814e-01  5.31561e-01  1.53671e-03  1.22553e+00  1.17315e+00  3.87037e-07  2.60000e+01  0.00000e+00 
   3.67442e-01  4.06413e-01  1.73113e-03  8.29038e-01  7.81507e-01  4.36003e-07  3.30000e+01  0.00000e+00 
   4.00138e-01  6.06901e-01  1.08377e-03  1.67774e-01  9.81701e-01  2.78785e-07  1.80000e+01  0.00000e+00 
   4.21104e-01  4.84682e-01  7.98598e-04  6.54635e-01  1.32599e+00  2.01137e-07  1.00000e+01  0.00000e+00 
   3.56070e-01  6.00034e-01  8.15665e-04  5.59891e-01  1.16934e+00  2.05111e-07  1.10000e+01  0.00000e+00 
   4.06648e-01  6.68278e-01  1.22170e-03  1.29297e+00  9.23156e-01  3.07698e-07  2.00000e+01  0.00000e+00 
